area_type,bath,balcony,price,bhk,has_society,society_freq,availability_group,location_grouped,location_target_enc,total_sqft
Super built-up  Area,2.0,2.0,48.0,2.0,0,0.0,Ready To Move,Other,81.875,1100.0
Built-up  Area,1.0,1.0,15.0,1.0,0,0.0,Ready To Move,kengeri,61.44150684931506,600.0
Super built-up  Area,3.0,1.0,122.0,3.0,1,10.0,Q4 Possession,binny pete,148.8055,1755.0
Plot  Area,5.0,2.0,380.0,4.0,1,36.0,Ready To Move,thanisandra,82.59086206896552,2800.0
Super built-up  Area,3.0,1.0,103.0,3.0,0,0.0,Ready To Move,bellandur,92.00365591397849,1767.0
Super built-up  Area,1.0,0.0,25.25,1.0,1,34.0,Q4 Possession,thanisandra,82.59086206896552,510.0
Super built-up  Area,3.0,2.0,56.0,3.0,0,0.0,Q2 Possession,Other,51.833333333333336,1250.0
Super built-up  Area,1.0,1.0,23.1,2.0,1,23.0,Ready To Move,electronic city,55.482145328719724,660.0
Built-up  Area,3.0,2.0,81.0,3.0,0,0.0,Q4 Possession,whitefield,129.65500954198475,1610.0
Super built-up  Area,2.0,2.0,48.77,2.0,1,23.0,Q4 Possession,ramagondanahalli,133.16574468085108,1151.0
Super built-up  Area,2.0,1.0,47.0,3.0,1,4.0,Ready To Move,electronic city,55.482145328719724,1025.0
Super built-up  Area,4.0,0.0,186.0,4.0,1,5.0,Q4 Possession,yelahanka,86.26330952380954,2475.0
Super built-up  Area,2.0,1.0,35.0,3.0,1,41.0,Ready To Move,bisuvanahalli,41.332857142857144,1075.0
Super built-up  Area,2.0,2.0,123.0,3.0,1,12.0,Ready To Move,hebbal,164.6091304347826,1760.0
Super built-up  Area,3.0,3.0,57.39,3.0,1,68.0,Ready To Move,raja rajeshwari nagar,66.0819496855346,1693.0
Built-up  Area,3.0,2.0,125.0,3.0,1,1.0,Ready To Move,Other,127.96875,1925.0
Super built-up  Area,2.0,1.0,36.0,2.0,1,63.0,Q4 Possession,kanakpura road,71.84865461847389,700.0
Super built-up  Area,2.0,1.0,45.5,2.0,0,0.0,Ready To Move,electronics city phase 1,55.10181818181818,1070.0
Super built-up  Area,3.0,2.0,125.0,3.0,1,23.0,Ready To Move,kundalahalli,133.25891304347826,1724.0
Super built-up  Area,2.0,2.0,56.12,3.0,0,0.0,Ready To Move,chikkalasandra,71.68931034482758,1290.0
Built-up  Area,2.0,2.0,45.0,2.0,0,0.0,Ready To Move,uttarahalli,63.26853503184713,1143.0
Built-up  Area,2.0,2.0,81.0,2.0,1,1.0,Ready To Move,Other,102.57142857142857,1296.0
Super built-up  Area,3.0,2.0,38.0,3.0,1,2.0,Q4 Possession,sarjapur  road,120.91663588390502,1254.0
Super built-up  Area,1.0,0.0,38.0,1.0,1,1.0,Ready To Move,Other,66.3,600.0
Plot  Area,1.0,0.0,48.0,1.0,0,0.0,Ready To Move,yelahanka,86.26330952380954,660.0
Super built-up  Area,2.0,2.0,91.79,2.0,1,22.0,Q3 Possession,kanakpura road,71.84865461847389,1330.74
Plot  Area,9.0,2.0,200.0,8.0,0,0.0,Ready To Move,hsr layout,115.41463414634147,600.0
Super built-up  Area,2.0,0.0,33.0,2.0,1,1.0,Ready To Move,doddathoguru,44.323793103448274,970.0
Super built-up  Area,2.0,1.0,94.82,2.0,1,11.0,Q3 Possession,whitefield,129.65500954198475,1459.0
Plot  Area,1.0,1.0,130.0,2.0,0,0.0,Ready To Move,kr puram,84.62961538461539,800.0
Built-up  Area,2.0,1.0,36.0,2.0,0,0.0,Ready To Move,Other,130.33333333333334,869.0
Super built-up  Area,2.0,1.0,50.0,2.0,1,1.0,Ready To Move,Other,50.0,1270.0
Super built-up  Area,3.0,1.0,99.0,3.0,1,28.0,Q1 Possession,bhoganhalli,99.72558139534884,1670.0
Built-up  Area,3.0,2.0,91.0,3.0,1,3.0,Ready To Move,whitefield,129.65500954198475,2010.0
Super built-up  Area,2.0,2.0,75.0,2.0,1,27.0,Ready To Move,lakshminarayana pura,97.13888888888889,1185.0
Super built-up  Area,2.0,3.0,75.0,3.0,1,5.0,Ready To Move,yelahanka,86.26330952380954,1600.0
Super built-up  Area,2.0,2.0,44.0,2.0,1,37.0,Ready To Move,begur road,59.920405405405404,1200.0
Built-up  Area,4.0,2.0,192.0,4.0,1,1.0,Q1 Possession,devanahalli,119.83911111111112,3210.0
Super built-up  Area,2.0,2.0,185.0,2.0,1,4.0,Ready To Move,Other,662.8571428571429,1500.0
Plot  Area,4.0,1.0,150.0,6.0,0,0.0,Ready To Move,Other,102.57142857142857,1407.0
Super built-up  Area,2.0,2.0,45.0,2.0,0,0.0,Ready To Move,Other,207.5,840.0
Plot  Area,3.0,2.0,240.0,3.0,0,0.0,Ready To Move,Other,240.0,4395.0
Super built-up  Area,2.0,1.0,55.0,2.0,1,1.0,Ready To Move,Other,66.3,845.0
Plot  Area,5.0,3.0,650.0,4.0,1,2.0,Ready To Move,whitefield,129.65500954198475,5700.0
Built-up  Area,2.0,2.0,44.0,2.0,1,2.0,Ready To Move,varthur,69.75897058823529,1160.0
Built-up  Area,8.0,0.0,140.0,8.0,0,0.0,Ready To Move,bommanahalli,61.07971428571428,3000.0
Super built-up  Area,2.0,1.0,62.0,2.0,0,0.0,Ready To Move,doddathoguru,44.323793103448274,1100.0
Super built-up  Area,2.0,3.0,43.0,2.0,1,4.0,Q2 Possession,gunjur,100.95761904761905,1140.0
Super built-up  Area,2.0,1.0,57.0,2.0,0,0.0,Ready To Move,marathahalli,102.42970414201183,1220.0
Plot  Area,7.0,0.0,85.0,8.0,0,0.0,Ready To Move,Other,61.470588235294116,1350.0
Super built-up  Area,2.0,1.0,36.68,2.0,0,0.0,Ready To Move,kanakpura road,71.84865461847389,1005.0
Plot  Area,3.0,2.0,100.0,3.0,0,0.0,Ready To Move,Other,100.0,500.0
Super built-up  Area,2.0,1.0,80.58,2.0,1,12.0,Q3 Possession,begur road,59.920405405405404,1358.0
Super built-up  Area,3.0,1.0,101.0,3.0,1,5.0,Ready To Move,hegde nagar,138.99687500000002,1569.0
Super built-up  Area,2.0,1.0,70.0,2.0,1,33.0,Q2 Possession,haralur road,96.60401960784314,1240.0
Super built-up  Area,3.0,2.0,140.0,3.0,1,1.0,Ready To Move,hennur road,103.92855704697986,2089.0
Super built-up  Area,2.0,1.0,48.23,2.0,0,0.0,Ready To Move,kothannur,58.92884615384616,1206.0
Super built-up  Area,2.0,3.0,40.0,2.0,0,0.0,Ready To Move,kalena agrahara,73.48484848484848,1150.0
Built-up  Area,3.0,3.0,205.0,3.0,1,1.0,Ready To Move,Other,236.42857142857142,2511.0
Built-up  Area,1.0,0.0,22.0,2.0,0,0.0,Ready To Move,kaval byrasandra,61.59090909090909,460.0
Built-up  Area,6.0,3.0,250.0,6.0,0,0.0,Ready To Move,Other,134.16666666666666,4400.0
Super built-up  Area,2.0,2.0,105.0,3.0,1,1.0,Ready To Move,Other,105.0,1660.0
Built-up  Area,4.0,2.0,224.5,4.0,1,3.0,Q4 Possession,hennur road,103.92855704697986,3203.5
Super built-up  Area,2.0,2.0,78.0,2.0,1,12.0,Q1 Possession,yelahanka,86.26330952380954,1326.0
Super built-up  Area,2.0,2.0,60.8,3.0,0,0.0,Ready To Move,Other,84.70058823529412,1325.0
Super built-up  Area,5.0,2.0,102.0,3.0,1,2.0,Ready To Move,epip zone,134.86260869565217,1499.0
Built-up  Area,7.0,2.0,210.0,6.0,0,0.0,Ready To Move,hegde nagar,138.99687500000002,3000.0
Super built-up  Area,3.0,2.0,88.0,3.0,0,0.0,Ready To Move,kanakpura road,71.84865461847389,1665.0
Super built-up  Area,2.0,2.0,37.0,2.0,1,14.0,Q3 Possession,Other,49.903125,708.0
Super built-up  Area,2.0,2.0,58.06,2.0,1,3.0,Ready To Move,kasavanhalli,116.52607594936708,1060.0
Plot  Area,6.0,3.0,160.0,6.0,0,0.0,Ready To Move,rajaji nagar,327.69308411214956,710.0
Built-up  Area,2.0,2.0,70.0,2.0,1,1.0,Ready To Move,sanjay nagar,126.35999999999999,1000.0
Super built-up  Area,2.0,1.0,28.88,2.0,0,0.0,Q4 Possession,electronic city,55.482145328719724,1000.0
Super built-up  Area,2.0,2.0,70.0,3.0,0,0.0,Ready To Move,Other,36.875,1450.0
Plot  Area,4.0,2.0,155.0,4.0,0,0.0,Ready To Move,Other,134.16666666666666,1200.0
Super built-up  Area,2.0,3.0,80.0,2.0,1,51.0,Q3 Possession,thanisandra,82.59086206896552,1296.0
Super built-up  Area,3.0,2.0,90.0,3.0,0,0.0,Ready To Move,domlur,163.77272727272728,1540.0
Plot  Area,4.0,1.0,245.0,4.0,1,1.0,Ready To Move,kengeri,61.44150684931506,2894.0
Super built-up  Area,2.0,1.0,48.0,3.0,0,0.0,Ready To Move,Other,78.74,1330.0
Built-up  Area,2.0,1.0,65.0,2.0,0,0.0,Ready To Move,Other,54.5,1200.0
Built-up  Area,3.0,1.0,90.0,3.0,0,0.0,Ready To Move,Other,105.0,1200.0
Super built-up  Area,3.0,3.0,138.0,3.0,1,45.0,Ready To Move,yeshwanthpur,98.1728313253012,2502.0
Built-up  Area,1.0,1.0,17.0,2.0,1,6.0,Ready To Move,chandapura,36.56774390243902,650.0
Plot  Area,2.0,1.0,150.0,3.0,1,1.0,Ready To Move,kothanur,95.790625,2400.0
Super built-up  Area,2.0,2.0,43.0,2.0,1,5.0,Ready To Move,Other,42.142857142857146,1007.0
Super built-up  Area,2.0,2.0,50.0,2.0,1,2.0,Ready To Move,Other,116.33333333333333,1200.0
Super built-up  Area,2.0,2.0,49.9,2.0,0,0.0,Ready To Move,Other,76.21111111111111,966.0
Built-up  Area,2.0,1.0,98.0,3.0,0,0.0,Ready To Move,nagarbhavi,117.20333333333333,1630.0
Built-up  Area,3.0,2.0,229.0,3.0,1,21.0,Ready To Move,rajaji nagar,327.69308411214956,1640.0
Built-up  Area,2.0,2.0,55.68,2.0,0,0.0,Ready To Move,Other,45.46,782.0
Super built-up  Area,2.0,2.0,66.78,2.0,1,3.0,Q2 Possession,devanahalli,119.83911111111112,1260.0
Super built-up  Area,3.0,3.0,120.0,3.0,0,0.0,Ready To Move,Other,192.5,1800.0
Super built-up  Area,2.0,2.0,75.0,3.0,1,2.0,Ready To Move,Other,102.0,1413.0
Super built-up  Area,2.0,1.0,51.91,2.0,1,6.0,Ready To Move,whitefield,129.65500954198475,1116.0
Super built-up  Area,2.0,1.0,45.9,3.0,1,9.0,Ready To Move,electronic city,55.482145328719724,1530.0
Built-up  Area,4.0,1.0,225.0,4.0,0,0.0,Ready To Move,ramamurthy nagar,86.1576388888889,3700.0
Built-up  Area,3.0,2.0,140.0,3.0,1,5.0,Ready To Move,sarjapur  road,120.91663588390502,2497.0
Super built-up  Area,2.0,3.0,64.0,3.0,1,4.0,Ready To Move,kengeri,61.44150684931506,1540.0
Super built-up  Area,3.0,1.0,74.75,3.0,0,0.0,Q4 Possession,thanisandra,82.59086206896552,1436.0
Super built-up  Area,2.0,2.0,75.0,2.0,0,0.0,Q2 Possession,malleshwaram,359.8803571428571,1100.0
Plot  Area,3.0,3.0,23.0,2.0,0,0.0,Ready To Move,hennur road,103.92855704697986,276.0
Super built-up  Area,3.0,2.0,120.0,3.0,1,4.0,Ready To Move,thanisandra,82.59086206896552,1427.0
Super built-up  Area,3.0,1.0,200.0,3.0,1,3.0,Ready To Move,akshaya nagar,85.35081967213114,2061.0
Super built-up  Area,4.0,0.0,477.0,4.0,1,9.0,Q1 Possession,hebbal,164.6091304347826,5611.5
Built-up  Area,4.0,2.0,150.0,4.0,0,0.0,Ready To Move,Other,72.92307692307692,2650.0
Super built-up  Area,2.0,2.0,68.52,3.0,1,9.0,Q4 Possession,devanahalli,119.83911111111112,1282.0
Built-up  Area,2.0,1.0,34.0,2.0,0,0.0,Ready To Move,kadugodi,97.58425,1050.0
Built-up  Area,3.0,2.0,65.0,3.0,1,1.0,Ready To Move,Other,75.72727272727273,1600.0
Super built-up  Area,2.0,1.0,54.0,2.0,0,0.0,Q1 Possession,Other,79.875,945.0
Super built-up  Area,2.0,1.0,78.0,2.0,1,3.0,Ready To Move,hormavu,71.35376712328767,1500.0
Plot  Area,7.0,0.0,115.0,7.0,0,0.0,Ready To Move,Other,66.66666666666667,950.0
Built-up  Area,3.0,3.0,110.0,3.0,1,1.0,Ready To Move,Other,76.21111111111111,1870.0
Plot  Area,3.0,1.0,75.0,3.0,1,3.0,Ready To Move,sarjapur,94.40676829268293,1600.0
Super built-up  Area,1.0,1.0,16.5,2.0,1,23.0,Ready To Move,electronic city,55.482145328719724,880.0
Plot  Area,4.0,0.0,210.0,4.0,0,0.0,Ready To Move,Other,210.0,1200.0
Super built-up  Area,3.0,2.0,83.0,3.0,1,5.0,Ready To Move,kudlu gate,83.4677027027027,1535.0
Built-up  Area,2.0,1.0,57.0,2.0,1,11.0,Ready To Move,kanakpura road,71.84865461847389,950.0
Super built-up  Area,2.0,1.0,65.0,2.0,1,2.0,Q3 Possession,devanahalli,119.83911111111112,1360.0
Super built-up  Area,2.0,0.0,54.005,2.0,1,4.0,Q1 Possession,8th phase jp nagar,78.609375,1073.5
Super built-up  Area,3.0,1.0,50.4,3.0,0,0.0,Q2 Possession,bommasandra industrial area,40.949615384615385,1280.0
Super built-up  Area,2.0,2.0,85.05,3.0,1,1.0,Q1 Possession,Other,133.75625,1260.0
Built-up  Area,8.0,2.0,250.0,8.0,0,0.0,Ready To Move,hennur road,103.92855704697986,5000.0
Super built-up  Area,5.0,1.0,213.0,5.0,1,5.0,Q4 Possession,yelahanka,86.26330952380954,3050.0
Super built-up  Area,3.0,1.0,105.0,3.0,1,3.0,Ready To Move,kasavanhalli,116.52607594936708,1563.05
Super built-up  Area,2.0,1.0,60.0,2.0,0,0.0,Ready To Move,Other,134.16666666666666,1000.0
Super built-up  Area,2.0,1.0,43.76,2.0,1,10.0,Q3 Possession,anandapura,57.38,1167.0
Super built-up  Area,7.0,2.0,225.0,7.0,0,0.0,Ready To Move,Other,128.15384615384616,4000.0
Super built-up  Area,3.0,2.0,110.0,3.0,1,12.0,Ready To Move,kothanur,95.790625,1828.0
Super built-up  Area,2.0,1.0,35.0,2.0,1,1.0,Ready To Move,kengeri satellite town,54.590875000000004,890.0
Super built-up  Area,3.0,3.0,46.74,3.0,1,2.0,Ready To Move,Other,68.27125000000001,1612.0
Plot  Area,5.0,2.0,185.0,6.0,0,0.0,Ready To Move,Other,115.66666666666667,1034.0
Super built-up  Area,4.0,2.0,91.31,3.0,1,10.0,Q2 Possession,mysore road,68.2984,1710.0
Super built-up  Area,2.0,1.0,58.0,2.0,1,6.0,Ready To Move,Other,90.10944444444445,957.0
Super built-up  Area,2.0,3.0,44.0,3.0,0,0.0,Q2 Possession,Other,61.470588235294116,1250.0
Super built-up  Area,4.0,2.0,235.0,3.0,1,3.0,Ready To Move,Other,233.33333333333334,2795.0
Super built-up  Area,2.0,2.0,50.0,2.0,1,1.0,Ready To Move,hulimavu,85.91884615384615,1125.0
Super built-up  Area,2.0,1.0,30.6,2.0,1,56.0,Q3 Possession,electronic city phase ii,48.68390625,1020.0
Super built-up  Area,2.0,2.0,50.0,2.0,0,0.0,Ready To Move,kalena agrahara,73.48484848484848,1200.0
Super built-up  Area,3.0,3.0,135.0,3.0,1,36.0,Ready To Move,thanisandra,82.59086206896552,1735.0
Super built-up  Area,3.0,1.0,145.0,3.0,1,12.0,Ready To Move,thanisandra,82.59086206896552,2050.0
Plot  Area,4.0,0.0,760.0,4.0,0,0.0,Ready To Move,Other,294.84615384615387,3750.0
Built-up  Area,2.0,3.0,48.0,3.0,0,0.0,Ready To Move,Other,44.05,1350.0
Super built-up  Area,2.0,1.0,32.0,2.0,1,7.0,Q2 Possession,hosa road,70.76757142857143,1063.0
Super built-up  Area,3.0,1.0,150.0,3.0,1,7.0,Ready To Move,Other,144.28571428571428,1904.0
Built-up  Area,4.0,2.0,420.0,4.0,0,0.0,Ready To Move,whitefield,129.65500954198475,4200.0
Super built-up  Area,3.0,1.0,175.0,3.0,1,1.0,Ready To Move,Other,94.8,2000.0
Super built-up  Area,2.0,0.0,43.49,2.0,1,2.0,Q4 Possession,sarjapur,94.40676829268293,1242.5
Super built-up  Area,2.0,2.0,75.0,3.0,1,2.0,Ready To Move,Other,63.5,1425.0
Super built-up  Area,2.0,1.0,64.5,3.0,1,52.0,Ready To Move,electronic city,55.482145328719724,1500.0
Built-up  Area,2.0,1.0,60.0,2.0,1,52.0,Ready To Move,electronic city,55.482145328719724,1060.0
Built-up  Area,2.0,2.0,70.0,3.0,1,1.0,Ready To Move,Other,62.5,1470.0
Super built-up  Area,6.0,0.0,99.0,6.0,0,0.0,Ready To Move,Other,100.5,1300.0
Super built-up  Area,1.0,1.0,11.0,1.0,1,12.0,Ready To Move,attibele,46.95951219512195,450.0
Super built-up  Area,2.0,1.0,64.5,2.0,1,48.0,Q2 Possession,electronic city,55.482145328719724,1152.0
Super built-up  Area,2.0,1.0,56.0,3.0,1,52.0,Ready To Move,electronic city,55.482145328719724,1350.0
Super built-up  Area,3.0,3.0,65.0,3.0,1,3.0,Ready To Move,cv raman nagar,79.58952380952381,1550.0
Plot  Area,3.0,2.0,100.0,3.0,0,0.0,Ready To Move,Other,100.0,1500.0
Plot  Area,3.0,2.0,85.0,5.0,0,0.0,Ready To Move,kumaraswami layout,115.71666666666667,600.0
Plot  Area,1.0,0.0,14.0,1.0,0,0.0,Ready To Move,Other,109.01235294117647,400.0
Super built-up  Area,1.0,2.0,67.0,1.0,1,1.0,Ready To Move,malleshwaram,359.8803571428571,705.0
Built-up  Area,1.0,1.0,36.0,2.0,1,52.0,Ready To Move,electronic city,55.482145328719724,770.0
Super built-up  Area,2.0,3.0,51.0,2.0,1,1.0,Ready To Move,hulimavu,85.91884615384615,1242.0
Super built-up  Area,3.0,2.0,155.0,3.0,1,12.0,Ready To Move,hebbal kempapura,197.33333333333334,1700.0
Super built-up  Area,3.0,2.0,145.0,3.0,1,36.0,Ready To Move,thanisandra,82.59086206896552,2144.0
Super built-up  Area,3.0,2.0,110.0,3.0,1,6.0,Q2 Possession,vijayanagar,119.15547619047618,1704.0
Super built-up  Area,2.0,1.0,52.0,2.0,1,52.0,Ready To Move,electronic city,55.482145328719724,1070.0
Plot  Area,3.0,2.0,300.0,3.0,0,0.0,Ready To Move,Other,206.14285714285714,1846.0
Super built-up  Area,2.0,2.0,55.7,2.0,0,0.0,Ready To Move,Other,59.9,1340.0
Built-up  Area,2.0,1.0,46.0,2.0,1,52.0,Ready To Move,electronic city,55.482145328719724,1025.0
Super built-up  Area,2.0,0.0,56.8,2.0,1,3.0,Ready To Move,kr puram,84.62961538461539,1277.5
Super built-up  Area,2.0,2.0,52.0,2.0,1,2.0,Ready To Move,marathahalli,102.42970414201183,1200.0
Built-up  Area,4.0,1.0,110.0,4.0,0,0.0,Q4 Possession,kanakpura road,71.84865461847389,2250.0
Super built-up  Area,2.0,3.0,80.0,3.0,1,3.0,Ready To Move,Other,58.565,1550.0
Plot  Area,5.0,2.0,325.0,4.0,0,0.0,Ready To Move,bellandur,92.00365591397849,1200.0
Plot  Area,7.0,1.0,250.0,7.0,0,0.0,Ready To Move,Other,111.55555555555556,1800.0
Super built-up  Area,2.0,2.0,60.0,2.0,1,3.0,Ready To Move,marathahalli,102.42970414201183,1200.0
Super built-up  Area,2.0,2.0,98.0,2.0,1,13.0,Ready To Move,yelahanka,86.26330952380954,1327.0
Super built-up  Area,2.0,2.0,58.0,2.0,0,0.0,Ready To Move,kothanur,95.790625,1186.0
Built-up  Area,3.0,1.0,115.0,3.0,0,0.0,Ready To Move,Other,129.75,1783.0
Super built-up  Area,3.0,2.0,56.0,3.0,1,5.0,Ready To Move,hsr layout,115.41463414634147,1400.0
Super built-up  Area,2.0,1.0,48.0,2.0,0,0.0,Ready To Move,Other,157.83333333333334,980.0
Super built-up  Area,2.0,2.0,82.0,2.0,0,0.0,Ready To Move,epip zone,134.86260869565217,1285.0
Super built-up  Area,2.0,1.0,70.0,3.0,0,0.0,Ready To Move,Other,149.0,912.0
Built-up  Area,2.0,2.0,47.6,2.0,1,4.0,Ready To Move,whitefield,129.65500954198475,1225.0
Super built-up  Area,2.0,1.0,53.0,2.0,0,0.0,Ready To Move,whitefield,129.65500954198475,1075.0
Built-up  Area,2.0,2.0,54.0,3.0,1,3.0,Ready To Move,kadugodi,97.58425,1260.0
Super built-up  Area,2.0,2.0,48.7,3.0,1,13.0,Ready To Move,yelahanka,86.26330952380954,1282.0
Super built-up  Area,3.0,2.0,88.0,3.0,1,1.0,Ready To Move,kogilu,103.532,1909.0
Super built-up  Area,2.0,1.0,87.0,2.0,1,12.0,Ready To Move,panathur,73.62040816326531,1359.0
Built-up  Area,2.0,2.0,43.5,2.0,0,0.0,Ready To Move,Other,53.3,1207.0
Plot  Area,6.0,0.0,190.0,4.0,0,0.0,Ready To Move,padmanabhanagar,140.63142857142856,1736.0
Super built-up  Area,4.0,1.0,428.0,4.0,0,0.0,Q2 Possession,Other,207.5,2850.0
Super built-up  Area,3.0,2.0,65.0,3.0,1,1.0,Ready To Move,kammasandra,38.054482758620686,1595.0
Built-up  Area,3.0,2.0,89.0,3.0,0,0.0,Q2 Possession,Other,129.66666666666666,1798.0
Super built-up  Area,3.0,2.0,78.29,3.0,1,4.0,Ready To Move,electronics city phase 1,55.10181818181818,1475.0
Super built-up  Area,3.0,3.0,100.0,3.0,1,1.0,Ready To Move,Other,91.0,1580.0
Super built-up  Area,2.0,1.0,65.0,2.0,1,5.0,Ready To Move,Other,83.01235294117647,1295.0
Built-up  Area,6.0,0.0,141.0,6.0,0,0.0,Ready To Move,magadi road,77.6266,3600.0
Super built-up  Area,1.0,1.0,27.0,1.0,1,10.0,Ready To Move,electronic city,55.482145328719724,589.0
Super built-up  Area,3.0,3.0,78.0,3.0,0,0.0,Ready To Move,Other,419.0,1415.0
Super built-up  Area,3.0,2.0,98.29,3.0,1,14.0,Q4 Possession,sarjapur  road,120.91663588390502,1787.0
Super built-up  Area,3.0,2.0,125.0,3.0,1,14.0,Ready To Move,sarjapur  road,120.91663588390502,1787.0
Super built-up  Area,2.0,3.0,90.0,3.0,1,1.0,Ready To Move,koramangala,205.215,1475.0
Built-up  Area,4.0,1.0,75.5,4.0,0,0.0,Ready To Move,Other,75.5,2000.0
Super built-up  Area,2.0,1.0,44.28,2.0,1,18.0,Q1 Possession,sarjapur  road,120.91663588390502,984.0
Super built-up  Area,3.0,2.0,74.82,3.0,1,4.0,Q4 Possession,devanahalli,119.83911111111112,1630.0
Super built-up  Area,4.0,2.0,260.0,3.0,1,2.0,Ready To Move,Other,310.0,2405.0
Built-up  Area,2.0,2.0,72.0,2.0,1,21.0,Ready To Move,7th phase jp nagar,104.03466666666667,1080.0
Plot  Area,2.0,1.0,115.0,2.0,0,0.0,Ready To Move,Other,116.33333333333333,1500.0
Super built-up  Area,3.0,2.0,119.0,3.0,0,0.0,Ready To Move,hebbal,164.6091304347826,1900.0
Super built-up  Area,2.0,1.0,22.14,2.0,0,0.0,Q3 Possession,Other,41.02846153846154,805.0
Super built-up  Area,2.0,2.0,56.4,2.0,1,42.0,Ready To Move,budigere,68.87882978723404,1153.0
Super built-up  Area,2.0,2.0,60.0,2.0,1,8.0,Ready To Move,Other,87.9375,1148.0
Super built-up  Area,2.0,2.0,55.0,2.0,1,2.0,Ready To Move,Other,63.0,1110.0
Built-up  Area,2.0,2.0,42.0,2.0,1,1.0,Ready To Move,electronic city,55.482145328719724,1100.0
Super built-up  Area,2.0,2.0,110.0,2.0,1,1.0,Ready To Move,Other,120.8157894736842,1290.0
Super built-up  Area,2.0,1.0,65.0,3.0,0,0.0,Ready To Move,Other,59.5,1500.0
Super built-up  Area,2.0,2.0,39.0,2.0,0,0.0,Q2 Possession,Other,176.28571428571428,1080.0
Super built-up  Area,3.0,1.0,129.0,3.0,1,10.0,Q2 Possession,vijayanagar,119.15547619047618,1933.0
Built-up  Area,5.0,2.0,150.0,5.0,0,0.0,Ready To Move,ramamurthy nagar,86.1576388888889,3500.0
Built-up  Area,2.0,2.0,60.0,2.0,0,0.0,Ready To Move,Other,62.5,1060.0
Super built-up  Area,1.0,1.0,16.45,1.0,1,19.0,Q3 Possession,chandapura,36.56774390243902,645.0
Plot  Area,8.0,2.0,180.0,8.0,0,0.0,Ready To Move,Other,180.0,2600.0
Super built-up  Area,1.0,1.0,16.45,1.0,1,19.0,Q3 Possession,chandapura,36.56774390243902,645.0
Super built-up  Area,3.0,3.0,84.0,3.0,1,5.0,Ready To Move,Other,82.28571428571429,1644.0
Super built-up  Area,2.0,3.0,72.5,2.0,1,1.0,Ready To Move,Other,72.5,1285.0
Plot  Area,3.0,1.0,90.0,3.0,0,0.0,Ready To Move,electronic city,55.482145328719724,1200.0
Super built-up  Area,2.0,1.0,40.0,2.0,1,2.0,Ready To Move,electronic city,55.482145328719724,910.0
Super built-up  Area,3.0,1.0,70.0,3.0,1,2.0,Ready To Move,kothanur,95.790625,1577.0
Plot  Area,3.0,2.0,280.0,3.0,1,6.0,Q2 Possession,Other,255.83333333333334,4050.0
Super built-up  Area,3.0,2.0,185.0,3.0,1,2.0,Ready To Move,Other,132.39473684210526,2420.0
Super built-up  Area,1.0,1.0,20.0,2.0,1,6.0,Ready To Move,chandapura,36.56774390243902,800.0
Built-up  Area,2.0,2.0,55.0,2.0,0,0.0,Ready To Move,Other,167.5,1060.0
Super built-up  Area,2.0,2.0,93.0,2.0,1,14.0,Ready To Move,7th phase jp nagar,104.03466666666667,1270.0
